NUMERO_CLIENTE,Recency,Frequency,Monetary
4615,81,1,3562.32
4664,39,1,761.26
4675,82,1,149.9
4678,35,13,9682.19
4727,56,2,246.02
4742,73,1,963.58
4755,44,3,512.53
4760,48,2,314.76
4780,80,1,189.48
4798,59,2,529.88
4808,40,1,33.8
4842,31,1,275.25
4861,30,4,1077.77
4865,55,2,1017.24
4898,54,1,819.9
4915,31,29,1575.22
4927,38,3,617.29
4931,39,2,472.3
4937,31,1,3.19
4962,39,6,825.71
4979,60,1,1020.77
4996,75,2,3128.12
5021,44,1,842.54
5028,30,13,4774.92
5035,44,7,25241.48
5052,45,4,1868.79
5082,34,15,13374.64
5083,40,2,300.61
5097,32,1,66.86
5114,31,1,44.15
5129,34,1,35.25
5148,69,2,309.55
5155,80,1,138.44
5173,31,6,20773.20
5212,30,3,1398.57
5254,33,1,159.79
5270,31,13,7891.65
5284,34,1,70.5
5330,38,1,28.17
5338,31,1,58.17
5344,88,1,2045.00
5349,48,1,122.82
5362,46,2,399.86
5364,59,2,702.06
5377,69,1,239.9
5397,31,1,251.41
5400,38,4,744.96
5457,38,1,572
5499,45,1,69.9
5503,29,1,133.96
5516,61,1,355.84
5519,68,1,256.9
5531,30,2,432.83
5534,31,1,43.15
5567,88,2,102.31
5572,30,1,102.5
5584,35,2,3930.60
5624,86,1,61.03
5716,63,3,11258.61
5723,35,1,35.25
5727,45,2,326.4
5728,31,4,1460.42
5748,38,7,10319.79
5763,30,1,243.7
5780,44,1,203.14
5783,40,1,2163.14
5853,86,1,80.14
5864,59,1,543.08
5892,40,2,1659.34
5897,30,16,984.97
5904,90,1,6398.81
5945,36,11,349.97
5965,30,1,266.01
5966,90,1,298.85
5977,41,3,2032.69
5981,37,2,2300.44
5999,38,5,774.78
6000,31,9,7742.73
6036,31,1,660
6039,30,1,105.75
6061,35,3,2128.44
6094,33,7,855.03
6096,76,1,883.01
6106,63,1,520.12
6122,41,1,1045.82
6134,86,1,155.54
6145,39,1,506.9
6177,34,1,260.54
6179,60,5,2907.18
6217,37,2,1557.27
6223,67,3,9510.60
6238,46,3,4174.55
6258,49,4,855.37
6266,35,1,216.06
6300,63,1,113.9
6309,31,8,6196.25
6314,45,1,52.7
6320,44,3,1159.93
6322,32,22,34337.38
6345,34,4,1943.68
6377,31,1,193.7
6382,39,4,4734.26
6398,49,1,69.1
6407,33,4,606.71
6432,31,12,3132.42
6444,41,4,979.6
6464,76,1,120
6467,37,4,3437.96
6499,44,2,158.7
6505,44,1,363.56
6533,53,1,981.75
6542,33,3,353.14
6543,67,1,53.5
6567,41,1,138.75
6582,39,16,11690.17
6629,33,8,14948.65
6634,33,11,464
6685,90,1,1501.30
6692,46,1,244.9
6726,88,1,339.22
6751,38,1,439.35
6752,41,6,5763.20
6777,69,4,1621.98
6829,38,1,32.56
6838,64,1,249.9
6846,31,1,25
6855,32,1,152.75
6856,33,17,4578.99
6866,35,3,1729.52
6868,38,1,35.25
6883,47,1,261.83
6894,34,6,31367.99
6916,87,1,135.58
6956,35,12,55153.42
6998,32,1,88.17
7021,68,1,233.75
7031,34,4,1496.22
7039,82,1,81.99
7042,61,1,90
7061,31,11,14959.59
7069,32,5,9640.15
7080,90,1,2813.90
7119,40,6,1741.39
7122,51,1,471.68
7188,38,1,61.43
7198,35,7,9394.52
7214,38,2,329.49
7258,33,2,259.8
7277,31,2,70.27
7278,37,3,517.34
7297,34,1,270.25
7308,49,2,1654.06
7348,31,1,60
7363,44,7,1570.81
7388,40,3,30499.44
7459,51,3,746.71
7482,30,1,271.53
7518,30,9,1406.76
7519,37,14,5413.09
7533,46,1,110.39
7546,73,1,211.22
7550,48,3,1349.42
7560,49,2,237.41
7573,73,1,693.1
7591,38,7,7969.45
7603,31,1,60
7615,87,1,285.8
7636,41,4,5777.32
