NUMERO_CLIENTE,Recency,Frequency,Monetary
22962,40,1,3337.52
22976,38,3,1100.52
22989,51,3,981.92
22990,31,2,229.72
23006,79,1,521.78
23014,33,1,79.49
23040,33,3,1770.62
23041,35,1,141
23044,31,4,594
23062,40,1,61.5
23078,61,1,240.9
23081,82,2,138.78
23093,75,3,433.55
23106,30,1,131.86
23160,60,3,530.32
23179,79,1,125.97
23185,34,6,403.63
23195,31,6,1368.14
23196,73,1,143.57
23198,31,17,6190.53
23203,68,4,1346.61
23204,48,1,54.8
23224,35,11,2047.36
23239,53,3,358.19
23251,51,1,37.36
23253,60,3,126.43
23256,40,2,653.19
23258,53,4,259.77
23259,35,5,352
23265,33,9,3354.48
23269,32,1,140
23271,30,1,38.59
23272,31,8,506.61
23276,34,2,146.67
23278,56,1,289.9
23282,34,10,5303.92
23286,74,2,647.01
23297,37,4,691.03
23302,77,1,16.86
23307,30,3,369.44
23310,65,3,192.31
23314,38,1,38.65
23315,40,1,92.25
23319,40,4,563.95
23321,34,1,200
23323,51,5,594.02
23324,74,3,359.27
23327,30,2,340.75
23351,77,1,304.77
23352,83,3,461.86
23368,56,3,393
23369,45,2,2201.26
23370,49,2,307.34
23378,55,2,210
23379,59,1,99.9
23381,31,5,189.35
23389,69,2,61.92
23392,30,15,2143.50
23399,31,1,145.22
23403,37,3,298.77
23405,31,10,8292.12
23408,55,2,99.7
23410,32,2,374.9
23436,31,11,6438.01
23442,32,2,630.94
23444,39,3,174.42
23446,32,8,1382.64
23451,38,1,230.2
23454,32,4,1435.39
23458,31,10,1888.70
23462,34,1,60.61
23469,49,3,865.4
23471,40,3,639.7
23472,88,1,199.8
23481,46,5,414.93
23482,32,3,182.69
23489,38,1,269.65
23492,39,11,44977.13
23497,34,3,155.75
23505,31,1,276.75
23515,32,2,336.1
23520,80,1,133.68
23548,38,3,508.93
23556,58,2,3176.09
23561,38,6,4163.97
23593,72,2,56.9
23596,54,2,309.9
23599,41,3,1196.67
23612,35,5,1042.04
23617,31,6,683.4
23619,33,1,70.5
23622,33,1,349.6
23623,56,1,112.9
23637,39,13,16611.40
23639,77,1,200
23641,32,10,798.04
23649,41,1,70
23650,33,1,188
23656,45,5,458.2
23680,72,1,13.9
23700,35,1,132
23702,37,3,1458.76
23703,30,2,354.02
23728,39,1,35
23740,30,1,35
23741,44,3,175.9
23743,33,1,137.57
23744,30,1,105.75
23751,70,3,807.44
23754,41,2,1530.55
23763,39,1,134.96
23767,62,2,109.8
23770,39,1,105
23776,47,3,208.97
23781,47,1,44.64
23784,37,1,35
23785,41,1,53.63
23792,35,1,100
23793,38,3,374.71
23797,40,3,161.45
23799,30,1,35.25
23840,60,2,223.9
23851,40,2,90.7
23854,34,3,259.58
23856,33,1,80.02
23861,41,4,597.18
23869,41,2,336.19
23872,32,8,3556.13
23881,30,1,35.25
23912,34,8,768.77
23942,33,20,7360.29
23944,34,1,589.76
23952,41,1,70.5
23953,31,1,250
23957,72,1,50.83
23960,33,1,70
23973,69,1,580
23981,31,1,102
23991,47,1,900
23994,34,1,164
23997,38,1,214
24011,30,7,1198.60
24015,35,1,148.55
24018,31,3,3776.08
24029,32,13,1966.22
24032,88,1,117.09
24039,34,5,192
24042,67,1,47.9
24056,40,1,25
24060,38,1,35
24066,76,2,387.8
24068,34,1,35.25
24082,38,3,208.35
24091,55,2,181.3
24100,35,1,9.51
24104,88,1,86.68
24122,31,2,45.3
24130,31,3,233.73
24136,32,15,14544.58
24139,37,1,79.9
24143,33,2,76.75
24161,31,1,174.65
24165,32,1,70.5
24178,32,19,18767.88
24188,41,3,899
24194,35,1,105.75
24205,39,5,3811.15
24214,44,4,295.99
24222,32,1,35.25
24226,41,1,161.7
24229,63,1,239.9
24251,67,2,146.44
24258,48,3,425.88
24260,31,3,1101.05
24268,47,3,359.7
24271,30,2,198.49
24274,32,1,64.9
24275,35,6,6282.04
24279,37,4,246.4
24283,32,2,132.83
24296,73,2,216.47
24297,46,3,1075.00
24306,39,1,319
24321,49,1,336.28
24322,46,5,300.04
24323,32,3,124.29
24340,32,1,35.25
24341,32,1,70.5
24347,32,3,114.33
24354,38,1,176
24355,38,1,335.81
24358,67,1,91.5
24376,39,1,3872.75
24398,34,2,377.41
24412,90,1,9.78
24424,82,1,79.9
24431,55,3,4559.22
24440,33,4,355.89
24468,41,5,434.08
24471,62,2,127.94
24479,39,6,142.47
24481,63,1,31.92
24484,37,1,109.9
24498,32,6,1249.29
24504,45,2,252.58
24524,33,25,17153.62
24526,49,4,529.92
24531,56,1,149.8
24534,45,1,27.64
24539,41,1,198.82
24541,58,2,227.8
24554,45,2,4760.69
24564,74,2,155.96
24580,76,1,47.7
24584,30,4,121.6
24585,35,2,100.4
24586,33,3,424.82
24587,70,1,39.62
24590,40,4,600.21
24596,39,2,133.46
24608,40,1,554.74
24613,37,3,282.61
24624,67,1,31.9
24628,35,1,384.59
24629,34,4,81.45
24639,47,2,83.06
24642,47,5,651.79
24646,33,1,70.5
24649,33,3,534.75
24650,35,1,70
24663,59,1,70
24666,32,12,814.15
24677,35,3,147.88
24680,40,1,282
24685,63,2,108.75
24687,38,1,161.17
24693,33,1,75.05
24724,38,2,242.5
24726,60,1,68.8
24727,70,1,147.9
24741,68,3,330
24748,40,8,863.73
24760,67,1,496.28
24774,79,1,188.79
24775,49,2,69.79
24777,37,5,2997.75
24790,39,1,70
24799,33,8,2591.27
24813,65,1,29.9
24814,44,2,45
24844,37,2,677.26
24852,32,9,495.9
24854,39,3,332.19
24883,52,2,1976.90
24897,86,1,399.98
24968,82,1,78.47
24981,32,1,102
24982,54,3,1654.41
25004,70,2,525.4
25007,30,7,1479.20
25023,44,1,188
25028,30,1,274.48
25032,39,2,710.13
25051,41,1,523.01
25069,55,1,136.8
25071,35,9,3408.69
25090,49,1,442.28
25102,32,6,3258.55
25119,37,3,1802.15
25121,38,1,342.8
25126,55,1,36.66
25129,55,1,81.88
25137,51,1,5.6
25186,39,2,1522.44
25202,33,5,61805.02
25209,39,4,925.3
25213,39,3,816.61
25215,32,1,2377.05
25226,79,1,1056.00
25228,38,3,269
25236,90,1,20
25263,46,8,3269.44
25273,86,2,316.33
25298,42,4,46139.50
25314,82,1,188.48
25331,41,2,324.61
25333,41,4,397439.94
25362,49,3,397.32
25364,31,3,525.7
25382,40,1,35.25
25412,38,3,581.05
25461,32,2,1820.71
25468,53,6,677.84
25469,29,6,14390.99
25476,48,1,686.5
25492,40,2,10226.14
25523,58,1,510
25527,41,8,3876.20
25543,38,6,3805.80
25547,45,1,272.49
25553,67,1,109.15
25554,42,3,12310.00
25560,75,1,85.9
25562,70,1,1340.00
25566,76,1,110.72
25568,40,4,1178.68
25600,34,1,518.71
25605,29,1,972.39
25606,34,3,508.4
25611,44,3,2185.15
25615,34,1,3024.36
25621,30,3,255.89
25623,35,1,82.5
25631,58,1,277.9
25653,72,1,122.82
25669,32,3,52900.94
25674,38,1,1500.00
25705,37,2,557.74
25709,33,14,9334.65
25730,62,1,1263.24
25734,38,4,1509.22
25737,34,3,14906.03
25747,40,2,769.75
25749,31,3,2694.62
25788,45,1,419.78
25790,33,6,47960.70
25803,38,7,2986.25
25807,40,3,3329.05
25819,63,2,276
25822,67,1,109.9
25824,39,2,411.38
25850,47,1,175.68
25873,67,1,196.28
25880,65,1,166.9
25890,30,3,801.86
25891,34,10,3487.15
25900,47,1,1559.96
25908,33,9,35393.80
25931,73,1,144.8
25935,41,2,2817.04
25955,46,2,315
25972,31,3,1660.59
25978,33,5,6931.33
26002,38,4,1676.41
26063,38,2,296.29
26080,41,5,1083.10
26093,45,3,2849.26
26119,33,3,2027.93
26159,31,1,35.25
26209,41,2,301.56
26214,34,2,632.84
26301,66,1,97.9
26307,30,2,346.46
26321,45,1,184.13
26326,31,2,2636.26
26368,80,1,442.52
26406,35,5,1735.74
26411,68,3,502.7
26430,60,4,1990.43
26447,55,1,139.9
26459,40,3,495.9
26482,31,10,36149.26
26526,45,7,17309.85
26529,34,1,420
26593,61,1,1100.00
26607,35,2,99
26611,45,2,471.7
26655,63,2,1255.58
26667,82,1,82.69
26670,38,7,1269.92
26673,33,19,10407.28
26718,39,8,1778.72
26727,34,5,772.48
26738,35,3,1329.93
26772,72,1,27.64
26792,52,3,982.37
26814,89,1,163.4
26817,32,4,2086.60
26832,45,3,4386.76
26842,46,1,1015.50
26846,30,14,6075.87
26854,37,1,278.21
26857,33,1,248.37
26871,60,1,558.33
26883,40,2,615.26
26885,87,1,139.9
26887,30,2,1262.70
26927,31,11,1455.87
26965,40,4,861.84
27021,81,1,511.88
27038,29,1,790.99
27049,32,7,1025.18
27060,44,2,1023.83
27062,90,1,534.2
27083,32,2,1890.37
27112,70,2,231.8
27115,35,1,117.5
27119,80,1,515.93
27144,82,1,286.42
27149,41,3,1161.49
27174,80,1,62.52
27187,48,5,1101.18
27201,32,2,284.25
27285,72,1,206.4
27288,51,1,246.38
27341,32,1,35.25
27377,37,17,637.03
27384,35,1,56.96
27390,35,3,2801.64
27398,38,1,90
27400,38,3,14248.34
27408,41,1,75.25
27586,77,1,19.81
27720,34,2,98.6
27726,81,1,236.64
27938,30,2,102.35
28092,31,3,105.44
28110,34,1,32.8
28138,46,8,954.4
28165,34,1,6513.00
28174,32,13,792.5
28200,29,45,3073.79
28732,30,15,2651.24
28959,69,2,258.5
28978,30,72,4207.28
29091,39,1,3009.88
29167,40,1,1600.00
29204,35,2,384
29236,32,4,224.55
29273,45,3,24127.25
29277,30,36,19715.23
29292,31,18,562.29
29330,31,8,6361.85
29351,41,1,1080.40
29435,39,4,235.45
29488,38,5,32744.98
29549,56,2,12194.80
29566,33,6,44626.48
29591,33,12,94150.10
29680,42,3,16441.00
29681,65,2,3547.40
29686,35,2,12638.10
29695,39,1,61.5
29713,46,1,319.06
29715,46,1,3185.82
29723,34,2,11693.80
29755,33,6,71176.15
29789,42,2,9460.45
29790,38,1,34066.00
29799,31,1,654.13
29802,31,8,3103.62
29827,63,1,3234.65
29839,61,2,961.42
29841,73,1,155.92
29844,42,4,34256.35
29890,33,7,62971.35
29905,49,2,12272.11
29906,84,1,1406.50
29967,42,2,25840.45
29988,68,1,549.27
30019,49,1,19247.76
30023,29,9,1599.73
30028,60,1,321.97
30029,31,3,472.4
30047,32,3,477.45
30061,30,1,766.44
30068,35,2,10246.70
30165,46,3,6410.23
30178,59,13,486
30276,37,4,20681.35
30321,32,3,3853.33
30335,55,3,706.41
30336,41,4,165420.99
30355,35,7,443.65
30381,30,23,1315.90
30411,31,2,9391.11
30413,38,1,2473.56
30414,35,1,39.96
30457,72,2,40.1
30465,31,29,18017.46
30478,30,2,217.9
30479,31,5,30724.92
30501,35,7,41940.02
30510,41,3,6607.89
30518,34,4,8928.91
30527,74,13,525.96
30551,39,2,431.14
30598,74,1,98.24
30636,56,14,839.68
30648,42,3,7542.73
30650,70,1,637.93
30652,56,5,9696.30
30653,35,6,3021.82
30657,35,9,39095.71
30658,56,1,1503.00
30659,70,1,706.8
30691,51,1,129.24
30734,38,16,311.53
30896,34,15,38719.46
30906,60,2,1478.00
30921,34,1,273
30922,34,2,3727.96
30926,53,1,409.68
30937,47,8,500.39
30942,40,2,419
30946,32,13,831.52
30947,45,3,224.29
30948,63,1,4616.60
30953,35,3,3842.39
30955,35,3,15320.82
30957,35,4,22834.67
30958,49,3,698.7
30963,40,2,3577.19
30964,40,1,588
30971,41,1,316
30996,63,2,5764.90
31015,56,3,1493.81
31016,77,2,888.4
31017,35,1,107.9
31019,70,1,255.1
31029,47,2,3294.16
31033,35,7,9397.18
31041,32,5,1099.33
31057,76,5,2603.16
31067,35,2,7127.57
31071,31,18,3387.68
31080,31,13,3539.54
31092,40,3,12169.30
31106,60,1,634.78
31116,49,1,1063.45
31183,40,5,4438.66
31205,37,2,2324.65
31240,45,3,501.64
31243,35,7,1200.88
31245,48,4,4458.61
31274,36,2,524.58
31374,52,2,322.8
31376,30,37,2993.19
31377,38,1,29.38
31378,31,29,2015.36
31380,45,1,73.24
31381,59,4,754.57
31392,87,2,81.5
31405,37,2,1894.76
31424,40,5,45317.05
31436,32,2,9954.29
31442,75,2,7769.10
31512,30,7,597.27
31562,56,2,2219.68
31570,49,2,3505.40
31572,35,8,10791.37
31607,33,11,412.21
31665,34,14,193.21
31722,33,1,995.36
31774,40,3,11949.86
31784,41,1,784.75
31796,39,1,1145.00
31827,45,1,594.89
31836,81,1,1198.04
31890,35,2,9969.30
31983,35,5,6467.37
31988,38,1,120
31998,30,9,2639.38
32007,35,1,1439.00
32010,31,9,614.33
32015,35,1,15390.73
32044,48,2,790.68
32073,30,38,866.05
32085,68,1,721.95
32108,84,1,1640.00
32118,41,1,1945.85
32130,48,2,3094.94
32148,46,3,4809.28
32159,61,1,1120.00
32169,67,1,610
32217,41,5,393.62
32221,62,1,504.74
32226,39,1,1521.60
32227,39,2,20928.40
32237,51,3,144.63
32285,44,1,367.02
32324,63,1,1206.12
32342,32,20,46357.25
32404,33,1,2478.54
32467,35,1,33
32482,53,2,215.38
32612,70,1,1717.50
32627,35,9,9667.41
32682,42,2,7380.00
32684,30,19,765.77
32699,29,12,576.11
32727,87,1,547.38
32782,62,1,7675.00
32803,88,1,876.58
32842,31,3,90.15
32860,32,16,519.64
32866,44,2,590.43
32873,33,1,243
32875,38,1,225.7
32881,84,1,2533.10
32917,81,2,739.22
32931,30,20,279.74
32980,32,22,15630.61
33021,33,3,365.39
33026,63,4,114031.26
33040,31,3,94.7
33042,31,16,1063.89
33067,39,2,806.17
33068,48,3,898.63
33088,32,6,375.19
33109,41,2,12594.37
33157,31,24,945.63
33164,39,2,5121.97
33165,41,3,1573.28
33177,31,7,297.24
33196,32,19,521.03
33198,47,6,2572.89
33209,30,52,1402.06
33216,35,4,8377.70
33218,67,1,1472.07
33268,30,6,319.81
33269,29,32,577.12
33272,44,2,245
33287,46,5,7252.05
33295,54,3,5286.04
33329,33,1,195.16
33335,39,2,2530.76
33337,33,4,3194.41
33346,39,2,7086.78
33358,61,1,2524.91
33365,56,1,175
33384,41,1,129
33386,41,1,1915.30
33398,33,2,64425.00
33400,60,2,1320.83
33416,34,5,92.44
33422,41,1,279.5
33425,39,2,15162.41
33427,35,8,378.1
33429,33,6,3484.83
33433,34,2,3769.19
33442,73,2,1679.77
33448,49,1,10860.50
33454,34,6,143.63
33478,39,4,465.29
33493,35,4,4897.72
33494,35,2,1619.88
33508,34,5,462.09
33536,38,18,1353.56
33541,48,1,798
33546,31,3,7072.50
33568,48,4,5466.58
33573,39,1,298.54
33586,35,3,5713.80
33592,56,3,8962.67
33596,33,3,4358.05
33597,48,1,344.9
33621,49,2,5025.62
33625,44,8,269.44
33629,75,1,3588.70
33635,30,11,1040.38
33638,33,3,3033.75
33640,33,6,7940.87
33649,42,8,3921.01
33662,42,2,54692.45
33689,33,7,6713.49
33709,29,21,1172.77
33711,82,1,340.54
33715,30,11,407.56
33720,35,2,48769.50
33733,55,1,105.53
33737,63,2,5468.76
33753,35,1,879.86
33756,39,1,7780.00
33760,30,38,1562.23
33784,72,3,541.48
33823,41,1,630
33824,41,1,580
33825,41,1,690
33875,87,1,4250.00
33890,30,18,442.03
33892,29,66,1946.66
33939,68,1,620.42
33952,41,3,117.5
33992,81,1,130.6
34025,64,3,257.31
34027,40,2,380.54
34032,32,7,1878.10
34034,53,1,311.35
34071,81,1,2012.08
34077,90,1,1385.38
34093,35,2,151.12
34107,31,4,373.45
34109,31,7,352.42
34115,45,1,782.2
34116,79,2,7524.83
34125,34,1,960
34133,34,2,4546.66
34134,31,5,636.96
34171,60,3,965.97
34175,73,1,335
34179,49,2,2632.90
34182,56,3,1862.80
34190,30,3,267.72
34207,60,1,2024.00
34253,49,1,1851.20
34257,31,2,2001.80
34294,60,2,2837.20
34297,40,2,9466.47
34313,39,1,1499.91
34323,40,2,4993.80
34334,49,1,597.16
34335,49,1,448.88
34348,31,40,2483.40
34363,40,6,1041.37
34368,69,1,1980.00
34369,46,1,1243.10
34374,49,1,177.65
34390,37,7,257.07
34439,33,8,701.71
34440,76,1,1165.45
34446,67,1,229.98
34450,35,8,73074.84
34467,30,14,454.01
34477,83,1,214.9
34481,36,14,1088.27
34490,37,1,248.46
34501,77,1,732.53
34504,35,6,13264.54
34547,39,1,1370.00
34575,32,1,130
34592,37,9,398.98
34594,35,3,89.3
34595,30,10,464.58
34611,37,1,10
34628,32,5,696.27
34636,62,1,187.82
34637,44,3,114.31
34650,80,1,210
34655,35,3,112.97
34660,63,2,3023.95
34663,46,1,585.8
34665,70,1,1036.10
34667,69,1,9675.00
34670,30,14,1458.97
34676,62,1,5280.00
34684,61,1,90.69
34690,59,1,3420.00
34693,46,2,82.91
34695,30,3,323.31
34703,44,1,76.31
34710,48,1,280.8
34721,40,1,984
34724,33,1,13.37
34738,34,1,30720.00
34740,34,1,9375.00
10000013,37,6,685.15
10000032,86,1,274.7
10000048,30,4,372.55
10000112,68,1,414
10000169,33,6,594.89
10000313,32,1,235.25
10000322,44,3,516.1
10000342,33,1,256.8
10000354,32,3,1544.73
10000400,55,1,179.9
10000577,87,1,121.7
10000677,38,2,671.08
10000697,32,7,1746.06
10000726,87,1,130
10000761,32,3,589.13
10000855,47,2,2521.62
10000872,34,3,763.13
10000973,30,13,2864.58
10001181,32,1,176.25
10001208,33,2,77.52
10001217,38,1,2180.40
10001222,32,1,43.15
10001242,38,1,825.8
10001273,49,2,372.97
10001508,41,3,1137.49
10001605,40,5,541.02
10001852,47,3,808.47
10001964,36,3,2199.57
10001986,47,5,1138.04
10002060,70,1,84
10002087,31,11,10210.86
10002104,32,12,1112.47
10002108,31,12,5391.54
10002128,33,1,211.5
10002147,35,2,1361.21
10002209,33,2,9691.60
10002218,45,3,1447.50
10002229,30,2,558.01
10002260,41,10,4060.56
10002316,60,1,160.7
10002602,34,4,1893.88
10002694,32,3,539.45
10002718,56,1,67.9
10002755,32,6,1458.80
10002848,39,1,1171.80
10002857,30,9,2586.80
10002935,33,1,70.5
10002952,79,1,40
10003002,38,3,530.64
10003122,59,3,463.18
10003252,31,8,508.39
10003312,39,3,560.92
10003331,38,4,2285.68
10003337,41,5,417.01
10003367,34,8,5289.74
10003391,32,1,43.15
10003436,44,3,743.9
10003484,51,1,237.4
10003591,31,2,246.4
10003598,30,6,1284.85
10003652,35,9,3017.11
10003763,39,3,491.45
10003765,31,1,137.9
10003937,54,4,1152.91
10004068,45,1,84.8
10004117,30,1,27.8
10004274,72,1,144.8
10004293,33,7,547.95
10004330,32,9,2289.41
10004390,56,1,86.08
10004412,84,2,133.46
10004419,41,1,2600.00
10004496,51,1,489.9
10004625,33,2,270
10004670,32,1,62.33
10004677,38,1,70.5
10004685,38,1,166.44
10004691,31,12,4490.60
10004787,56,1,218.4
10004793,44,18,1050.58
10004872,44,1,395.91
10004886,51,2,249.86
10004890,90,1,3059.49
10004899,65,1,61.29
10004948,59,1,255.9
10004984,47,2,166.11
10005006,79,1,49
10005007,81,1,74.78
10005026,40,3,334.78
10005064,38,6,789.8
10005131,29,1,169.9
10005137,41,1,167.04
10005160,49,4,1164.85
10005223,81,1,83
10005234,33,1,149.9
10005241,38,10,923.24
10005262,54,1,730.04
10005287,69,6,855.99
10005323,32,18,1899.54
10005345,53,1,149.88
10005384,32,3,1658.62
10005509,37,2,138.41
10005512,41,1,235
10005514,35,1,304.5
10005520,70,1,27.6
10005533,87,1,67.9
10005626,45,6,1159.43
10005654,35,2,212.91
10005676,37,2,738.6
10005711,31,1,149.69
10005742,30,1,175.4
10005754,31,9,2147.39
10005830,39,2,699.94
10005881,37,3,376.16
10005916,56,1,185
10005987,51,2,226.4
10006034,51,1,292
10006038,39,3,350
10006099,72,2,278.33
10006104,33,1,331.75
10006154,88,1,28.86
10006169,63,1,115
10006244,84,1,214.9
10006247,77,1,390
10006258,80,1,303
10006271,87,1,1228.79
10006272,87,1,1522.99
10006273,30,18,12968.82
10006274,84,1,440.19
10006279,32,1,117.5
10006280,31,17,11086.16
10006283,75,1,237.4
10006284,30,2,834.32
10006286,72,2,437.8
10006288,70,1,84.9
10006289,70,1,290
10006290,69,1,18.47
10006291,67,1,149.9
10006293,35,1,149.9
10006294,63,2,15.58
10006295,53,2,54.58
10006296,61,1,81.29
10006300,60,1,1856.29
10006305,59,1,27.09
10006310,53,1,23.92
10006314,45,2,3163.50
10006317,48,2,1149.80
10006322,37,1,417.63
10006324,37,1,295.3
10006325,37,1,476.68
10006331,34,1,40
10006332,33,1,92.9
10006333,32,1,459.9
10006337,31,1,24.6
10006340,30,1,89.9
10006342,30,1,220
20000153,31,3,3725.22
20000173,31,6,2102.87
20000177,48,1,174.81
20000182,65,1,154.9
20000184,30,15,4978.50
20000238,41,3,1024.57
20000263,45,3,3946.38
20000321,30,21,10470.31
20000448,73,1,239.02
20000547,69,1,144.9
20000555,35,5,5908.30
20000596,72,1,349.74
20000601,51,1,89.99
20000611,38,5,3104.96
20000685,82,1,266.6
20000720,88,1,214.35
20000774,36,3,2811.92
20000775,59,1,2460.00
20000855,51,1,207.21
20000857,53,1,686.17
20000868,12,3,419.16
20001044,78,1,104.4
20001061,55,1,48.92
20001065,38,1,369
20001084,35,1,340.75
20001161,71,1,327.87
20001175,46,2,702.14
20001206,63,2,395.79
20001272,38,2,289.65
20001317,34,1,158.26
20001331,82,1,343
20001351,30,6,1089.54
20001391,31,1,280
20001403,38,3,11404.80
20001486,31,7,537.39
20001494,40,2,414.18
20001641,40,3,861.69
20001665,33,3,609.79
20001705,63,1,169.99
20001715,34,2,115.55
20001766,48,1,119.9
20002000,34,4,980.78
20002016,51,5,1078.65
20002049,39,4,15027.50
20002068,44,2,489.8
20002151,32,10,5117.49
20002294,54,3,977.97
20002295,56,2,2420.17
20002332,54,2,3806.50
20002383,38,3,7204.05
20002497,53,1,382.28
20002550,87,1,855.8
20002563,32,6,7274.62
20002643,39,2,455.77
20002781,32,4,19963.29
20002795,51,1,315.17
20002895,34,3,7248.26
20003019,41,1,114.65
20003035,84,1,178.93
20003052,62,4,261.32
20003115,31,1,119.12
20003127,41,2,1203.55
20003165,31,1,114.97
20003182,30,13,5330.21
20003192,53,2,268.3
20003217,53,1,210
20003219,61,1,645.48
20003266,33,1,102.5
20003408,34,16,6353.44
20003479,46,2,515.97
20003592,33,1,52.9
20003653,41,2,2324.06
20003822,44,1,1009.98
20003914,38,1,201.9
20003930,34,6,9028.25
20003964,35,8,15532.63
20004025,88,1,655.37
20004104,39,1,324
20004122,31,15,10482.37
20004191,45,2,146.03
20004218,35,8,2410.78
20004363,44,2,429.09
20004381,46,1,319.29
20004382,77,1,278.7
20004389,45,1,211.27
20004425,33,4,827.27
20004452,62,1,347.35
20004456,88,1,220.02
20004470,53,1,677.24
20004473,74,1,1007.54
20004512,36,1,398.83
20004636,70,1,266.22
20004714,39,2,4509.43
20004817,76,2,1716.69
20004896,41,2,489.79
20004900,85,1,5210.42
20004909,84,1,115.12
20004913,77,1,2748.40
20004961,63,2,1869.80
20004967,30,18,120686.93
20004973,30,3,3753.22
20005005,52,1,232.63
20005026,70,1,3299.60
20005033,37,1,615
20005043,35,1,294.92
20005098,33,15,305484.92
20005247,86,1,15.54
20005250,60,1,2199.90
20005322,33,1,7759.48
20005370,36,3,627.74
20005420,67,1,436.83
20005501,68,1,497.9
20005531,68,2,270.09
20005583,34,4,702.54
20005617,90,1,3.47
20005653,46,2,475.04
20005658,34,2,1713.63
20005767,47,1,179.6
20005883,41,3,1388.44
20005906,70,1,1015.57
20006116,36,2,2085.34
20006139,58,1,52.15
20006164,69,1,149.9
20006276,44,1,39.9
20006321,34,3,5789.19
20006415,60,3,204.97
20006452,32,2,4157.92
20006479,40,2,3423.72
20006483,41,1,270.25
20006508,51,1,399.9
20006562,58,1,699.9
20006604,87,1,118.89
20006629,35,1,35.25
20006646,35,1,35.25
20006704,31,1,131.6
20006735,56,1,65.09
20006863,30,3,140.61
20007093,31,5,941.41
20007294,90,1,155.39
20007485,47,1,174.29
20007530,44,3,953.78
20007666,80,1,32
20007676,87,1,149.9
20007783,34,2,244.62
20007817,32,1,35.25
20007864,53,1,224.9
20008015,62,1,61.29
20008041,60,1,147.02
20008067,80,2,125.8
20008105,55,1,193.75
20008113,89,1,24.84
20008158,82,1,294.4
20008266,41,2,2720.00
20008289,34,1,61.5
20008292,34,2,184.5
20008299,63,2,730.12
20008358,83,1,161.07
20008373,39,1,35.25
20008380,40,1,1050.60
20008381,40,2,155
20008473,33,1,297.25
20008474,33,1,266.5
20008490,33,1,61.5
20008620,49,1,159.82
20008628,59,5,1641.17
20008694,89,1,1002.99
20008741,33,1,107.42
20008777,77,1,471.68
20008812,51,1,85.04
20008834,58,2,448.7
20008881,64,1,135.58
20008892,34,6,1529.18
20008947,48,3,7770.00
20009142,66,1,557.4
20009232,32,1,58.9
20009234,46,1,110.89
20009238,47,1,62.84
20009255,46,1,4317.25
20009260,31,2,643.98
20009279,34,1,103.03
20009294,62,1,547.9
20009295,40,1,150.29
20009392,38,1,234.9
20009435,67,1,285.88
20009452,45,1,100.9
20009469,55,1,209.7
20009549,38,1,1114.20
20009569,35,1,25
20009670,37,1,2855.37
20009769,33,1,50
20009847,34,4,1224.95
20009874,34,1,35.25
20009907,34,6,6964.50
20009933,39,2,636.08
20009953,63,1,155.9
20010068,33,1,336.09
20010138,78,1,257.15
20010196,86,1,119.9
20010211,77,1,57.9
20010256,65,1,27.33
20010462,63,1,245.85
20010665,52,1,418.71
20010673,32,3,467.55
20010693,47,1,402.8
20010724,61,1,45.62
20010778,88,1,145.29
20010816,55,1,2089.90
20010828,69,1,275.49
20010849,37,2,1238.53
20010925,54,2,45.76
20010995,34,1,204.52
20011008,74,1,323.56
20011066,40,3,156.12
20011098,79,1,134.9
20011117,58,1,339.88
20011208,90,1,54.99
20011294,85,1,513.8
20011296,47,2,18289.55
20011310,55,1,690
20011371,74,2,245.72
20011467,65,1,950.74
20011511,34,2,411.96
20011654,32,4,4429.99
20011762,38,1,92.25
20011815,31,1,202.4
20011835,49,2,4698.60
20011958,32,1,420.74
20011966,35,1,156.15
20012019,75,1,113.82
20012064,32,2,401.99
20012120,38,4,659.87
20012126,49,2,2910.87
20012130,90,1,614.11
20012131,77,2,11634.62
20012159,45,1,182.42
20012175,47,1,420
20012188,85,1,238.07
20012269,75,1,535.84
20012307,59,1,99.9
20012331,58,1,139.63
20012393,34,1,293.43
20012408,77,1,334.84
20012517,29,1,723.14
20012524,63,1,1155.64
20012555,30,7,4817.46
20012591,33,1,125.19
20012593,79,1,167.19
20012718,45,2,40.34
20012762,32,1,14.02
20012770,68,1,463.78
20012773,33,6,160.35
20012847,44,2,841.04
20012851,42,1,1409.70
20012863,52,1,237.4
20012908,45,2,292.24
20012949,41,4,450.27
20013054,67,1,142
20013089,83,1,314.65
20013111,46,2,213.8
20013183,38,1,820
20013185,33,2,331.33
20013194,89,1,84.1
20013200,47,1,158.7
20013205,39,6,3096.86
20013211,55,1,323
20013526,37,1,135.9
20013615,30,2,26.69
20013732,84,1,69.25
20013846,40,5,3595.77
20013948,35,6,35248.87
20013993,65,1,46.35
20014134,55,1,277.9
20014141,38,1,151.7
20014188,41,2,10008.75
20014192,44,8,2478.04
20014225,44,1,74.37
20014234,70,1,307.8
20014239,83,1,441.09
20014274,41,1,321.97
20014316,87,1,172.39
20014442,39,15,3224.22
20014518,63,1,192.84
20014630,88,1,164.9
20014648,73,1,193.4
20014652,59,1,498.49
20014674,59,2,187.8
20014739,48,2,187.8
20014749,39,2,213.79
20014752,36,1,504.98
20014753,47,1,73.54
20014790,45,3,494.7
20014823,63,1,304
20014829,55,1,149.99
20014835,41,1,81.28
20014868,55,2,927.05
20014931,69,1,49.33
20014988,59,1,260.9
20014992,34,1,1129.44
